T84;Jay-Z ft. Alicia Keys;Empire State of Mind;2009;Hip-hop
T85;Isaac Hayes;The Breakthrough;1974;R&B/Soul
T86;NWA;Straight outta Compton;1988;Hip-hop
T87;The Winstons;Amen, Brother;1969;Hip-hop
T88;Funkadelic;You'll like it too;1981;Funk
T89;Audio Two;Top Billin';1987;Hip-hop
T90;The Honey Drippers;Impeach The President;1973;R&B/Soul
T91;Nice & Smooth;Funky For You;1989;Hip-hop
T92;LL Cool J;Around the Way Girl;1990;Hip-hop
T93;Kris Kross;Jump;1992;Hip-hop
T94;Jackson 5;I want you back;1969;R&B/Soul
T95;Ohio Players;Funky Worm;1972;R&B/Soul
T96;Nas;The Message;1996;Hip-hop
T97;Naughty by Nature;Hip Hop Hurray;1993;Hip-hop
T98;Five Stairsteps;Don't Change Your Love;1968;R&B/Soul
T99;A Tribe Called Quest;Jazz (We've Got);1991;Hip-hop
T100;Ice Cube;A Bird in the Hand;1991;Hip-hop
T101;Southside Movement;I been watchin' you;1973;Funk
T102;Cormega;American Beauty;2001;Hip-hop
T103;The Avalanches;Since I left you;2000;Hip-hop
T104;Lamont Dozier;Take off your make up;1973;R&B/Soul
T105;Dr. Dre;Let me ride;1992;Hip-hop
T106;Bill Withers;Kissing My Love;1972;R&B/Soul
T107;Erik B. & Rakim;In the ghetto;1990;Hip-hop
T108;Gary Numan;Films;1979;Rock
T109;DJ Qbert;Eight;1994;Hip-hop
T110;Ghostface Killah & RZA;The Grain;2000;Hip-hop
T111;Rufus Thomas;Do the Funky Penguin;1971;R&B/Soul
T112;Rufus Thomas;The Breakdown (part 2);1971;R&B/Soul
T113;Nice & Smooth;Early to Rise;1989;Hip-hop
T114;Tommy Roe;Dizzy;1969;R&B/Soul
T115;Salt-N-pepa;I desire;1986;Hip-hop
T116;The Winstons;Amen, Brother;1969;R&B/Soul
T117;7th Wonder;Daisy Lady;1979;R&B/Soul
T118;Kanye West ft. Nas, Really Doe;We Major;2005;Hip-hop
T119;Orange Krush;Action;1982;Funk
T121;LL Cool J;Breakthrough;1987;Hip-hop
T122;Gang Starr;Tonz 'O' Gunz;1994;Hip-hop
T123;James Brown;The Payback;1973;Funk
T124;B-brazy;Payback;2000;Hip-hop
T126;Brownside;Payback;2003;Hip-hop
T127;Samba Soul;Mambo 5;1977;World
T128;KMD;Hard wit no hoe;1991;Hip-hop
T129;The Emotions;Blind Alley;1972;R&B/Soul
T130;The Notorious B.I.G.;Microphone Murder;2009;Hip-hop
T131;Stetsasonic;Takin' all that Jazz;1988;Hip-hop
T132;Lonnie Liston Smith;Expansions;1975;R&B/Soul
T133;Banbarra;Shack Up;1975;R&B/Soul
T134;UMC;Blue Cheese;1991;Hip-hop
T135;Solomon Burke;Get out of my life, Woman;1968;R&B/Soul
T136;Freestyle Fellowship;Hot potato;1993;Hip-hop
T137;The Grassroots;You and Love are the Same;1967;R&B/Soul
T138;Eminem;My name is;1998;Hip-hop
T139;Labi Siffre;I got the;1974;R&B/Soul
T140;MC Solaar;Caroline;1991;Hip-hop
T141;Southside Movement;Save The World;1974;R&B/Soul
T142;Busta Rhymes ft. Ol' Dirty Basterd;Woo Hah!! Remix;1996;Hip-hop
T143;Galt MacDermot;Space;1969;Soundtrack
T144;Beastie Boys;Time to get Ill;1986;Hip-hop
T145;Barry White;I'm gonna love you just a little more baby;1973;R&B/Soul
T146;De La Soul;De la Orgee;1989;Hip-hop
T147;Ras Kass;Rasassination;1998;Hip-hop
T148;Johnny Pate;Shaft in Africa;1973;R&B/Soul
T149;Jay-Z;Show me what you got;2006;Hip-hop
T150;Cypress Hill;Real Estate;1991;Hip-hop
T151;All The People;Cramp Your Style;1972;R&B/Soul
T152;Nas;One Mic;2001;Hip-hop
T153;Public Enemy;911 is a Joke;1990;Hip-hop
T154;Sound Experience;Devil with the bust;1974;R&B/Soul
T155;The Village Callers;Hector;1968;R&B/Soul
T156;De La Soul ft. Chi-Ali;The Mack Daddy On The Left;1989;Hip-hop
T157;Geto Boys;Fuck a War;1991;Hip-hop
T158;Black Dynasty;Lil' House on the Ghetto Prairie;1991;Hip-hop
T159;Wreckx-n-effect;New Jack Swing;1989;Hip-hop
T160;Bobby Byrd;I Know You Got Soul;1971;R&B/Soul
T161;Das EFX;The Real Hip Hop;1995;Hip-hop
T162;Joe Tex;Papa Was Too;1966;R&B/Soul
T163;Wu-Tang Clan;Wu-Tang Clan ain't nuthin ta F' wit;1993;Hip-hop
T164;EPMD;Jane;1988;Hip-hop
T165;Blueprint;Tramp;2005;Hip-hop
T166;Nikki D;Lettin' Off Steam;1990;Hip-hop
T167;The Politicians;Free Your Mind;1972;R&B/Soul
T168;Scarface;A minute to pray and a second to die;1991;Hip-hop
T169;Damu the Fudgemunk;Pulse;2008;Hip-hop
T170;Mos Def;24 hour Karate School;2010;Hip-hop
T171;Eddie Bo;Hook and Sling;1969;R&B/Soul
T172;3rd Bass;Oval Office;1989;Hip-hop
T173;Joe Quarterman & Free Soul;I'm gonna get you;1974;R&B/Soul
T174;Nas;Sekou Story;2004;Hip-hop
T175;Lightnin' Rod ft. Kool & The Gang;Sport;1974;R&B/Soul
T176;Beastie Boys;Egg man;1989;Hip-hop
T177;Curtis Mayfield;Superfly;1972;R&B/Soul
T178;Crucial conflict;Showdown;1996;Hip-hop
T179;Beastie Boys;Brass Monkey;1986;Hip-hop
T180;Wild Sugar;Bring it Here;1981;Disco
T181;The Notorious B.I.G.;Respect;1994;Hip-hop
T182;KC & The Sunshine Band;I Get Lifted;1975;R&B/Soul
T183;112 ft. The Notorious B.I.G;Only You;1996;Hip-hop
T184;Nas;Get Down;2002;Hip-hop
T185;The Blackbyrds;Rock Creek Park;1975;R&B/Soul
T186;Public Enemy;Fight the Power;1989;Hip-hop
T187;Erik B. & Rakim;I Know You Got Soul;1987;Hip-hop
T188;De La Soul;Ghetto Thang;1989;Hip-hop
T189;NWA;Fuck the Police;1988;Hip-hop
T190;Erik B. & Rakim;Lyrics of Fury;1988;Hip-hop
T191;LL Cool J;Mama said knock you out;1990;Hip-hop
T192;Public Enemy;Welcome to the Terrordome;1989;Hip-hop
T193;Dyke & The Blazers;Let a woman be a woman, let a man be a man;1969;Funk
T194;MC Eiht;Streiht up Menace;1993;Hip-hop
T195;Kool & The Gang;N.T.;1971;R&B/Soul
T196;Erik B. & Rakim;Follow The Leader;1988;Hip-hop
T197;Baby Huey;Listen To Me;1971;R&B/Soul
T198;Lyn Collins;Think (about it);1972;R&B/Soul
T199;James Brown;The Boss;1973;R&B/Soul
T200;Ice-T;You played yourself;1989;Hip-hop
