S057, T090, T093, 0:00, 0:00, 150, half of the samples used in S054 and S55
S058, T095, T093, 2:18, 0:00, 40, 
S060, T098, T097, 0:00, 0:08, 204, pretty short but ok
S061, T098, T099, 0:00, 0:11, 150, Pretty short only full cycles counted
S062, T098, T100, 0:00, 0:05, 100, pretty short but ok
S063, T101, T102, 0:01, 0:00, 24, 
S064, T104, T103, 0:01, 0:15, 96, 
S067, T108, T109, 0:06, 0:54, 114, 
S068, T111, T110, 0:00, 0:15, 55, 
S069, T112, T110, 0:14, 0:00, 1, 
S071, T116, T115, 1:28, 0:07, 82, 
S072, T117, T115, 0:01, 1:00, 7, 
S073, T119, T118, 0:05, 0:00, 139, 
S074, T085, T121, 0:01, 0:00, 74, Perhaps chopped with compression or gated reverb: different timbre; Yet accurate pattern
S078, T145, T144, 0:12, 0:39, 2, 
S079, T145, T146, 0:01, 0:00, 22, 
S080, T148, T147, 0:18, 0:05, 24, 
S081, T148, T149, 0:18, 0:13, 15, end of loop doubled (not counted)
S082, T151, T150, 0:06, 1:54, 7, 
S083, T145, T152, 0:03, 0:56, 28, 
S084, T154, T153, 0:18, 0:00, 54, LF only
S086, T154, T157, 0:01, 0:01, 9, intro
S089, T160, T157, 0:00, 1:04, 8, 
S091, T162, T163, 0:00, 0:17, 3, HF only and soft
S092, T162, T164, 0:08, 0:07, 53, 
S094, T167, T166, 0:06, 0:15, 43, Bass + synth
S098, T173, T172, 1:48, 0:05, 71, 
S101, T177, T176, 0:00, 0:00, 27, 
S102, T177, T178, 0:00, 0:07, 70, 
S103, T180, T179, 0:01, 0:01, 12, 
S104, T182, T181, 0:00, 0:00, 99, 
S106, T185, T184, 0:00, 2:15, 8, 
S107, T083, T184, 5:21, 2:17, 7, 
S109, T160, T187, 0:00, 0:09, 77, might be 39
S112, T088, T187, 0:01, 0:00, 21, 
S113, T083, T189, 5:21, 2:17, 4, might be 2
S114, T083, T190, 5:21, 0:00, 102, 
S115, T083, T191, 5:21, 0:11, 112, 
S116, T193, T192, 1:46, 0:05, 75, Beginnings counted
S120, T199, T184, 0:05, 0:02, 71, 
S121, T064, T065, 0:02, 0:00, 12, the intro/refrain riff
S122, T072, T073, 0:04, 0:32, 5, brass part
S123, T062, T063, 0:59, 0:49, 44, verse (very soft)
S124, T052, T051, 0:01, 0:13, 80, only the measures with double BD counted
S125, T042, T041, 0:07, 0:12, 16, the guitar + strings bar
S126, T038, T037, 0:04, 0:52, 10, the guitar + brass bar
S127, T031, T030, 0:46, 0:13, 43, end of loop
S128, T029, T028, 0:05, 0:27, 4, 10 sec refrain
S129, T023, T022, 0:11, 1:24, 2, saxophone
S130, T014, T013, 1:08, 0:00, 1, intro not interpolated
S131, T003, T004, 0:23, 0:20, 9, repeated beat (of which 3 included in S2)
S134, T167, T166, 0:02, 0:25, 14, Just bass
S135, T199, T184, 0:14, 0:58, 3, brass riff
S136, T199, T184, 1:06, 0:00, 2, brass crescendo
S137, T173, T172, 0:01, 0:44, 14, 
